Model,Mean_R2,Std_R2,Mean_MAE,Mean_MAPE,Mean_RMSE,CrossDataset_Rank
ExoTST,0.40475460886955256,0.09548532902852236,5.259626150131226,471.8332767486572,8.847410484125225,1
iTransformer,0.3828793168067932,0.06703557408094121,5.105178117752075,413.40770721435547,9.016847565377269,2
LightGBM,0.37607529759407043,0.07967714197014726,5.149919271469116,403.94235849380493,9.06369222222694,3
PatchTST,0.3673524260520935,0.07834643952211283,5.315082550048828,497.2630023956299,9.12742088806538,4
TCN,0.35135337710380554,0.05601944155140629,5.324909448623657,417.82160997390747,9.247000431168203,5
Informer,0.35068655014038086,0.08115114370311877,5.452308416366577,394.254469871521,9.246686588581788,6
GRU,0.3339535593986511,0.07575145805929706,5.41850209236145,473.45075607299805,9.36675038033125,7
LSTM,0.3140033781528473,0.09866952343352046,5.491988897323608,495.8635926246643,9.50110002084968,8
