Model,Mean_R2,Mean_MAE,Mean_RMSE,Mean_MSE,Mean_MAPE,Std_R2,CrossDataset_Rank
ExoTST,0.4000833332538605,5.278356552124023,8.88016817639671,79.1209716796875,431.1532974243164,0.10209151035781688,1
TCNInformer,0.3851017951965332,5.351790428161621,8.984958371006009,80.72947692871094,668.2536125183105,0.0,2
iTransformer,0.38164499402046204,5.134774923324585,9.025514095639625,81.5702896118164,404.13297414779663,0.06878117010571698,3
LightGBM,0.37607529759407043,5.149919271469116,9.06369222222694,82.3000717163086,403.94235849380493,0.07967714197014726,4
PatchTST,0.3673524260520935,5.315082550048828,9.12742088806538,83.45186233520508,497.2630023956299,0.07834643952211283,5
TCN,0.35135337710380554,5.324909448623657,9.247000431168203,85.57398223876953,417.82160997390747,0.05601944155140629,6
Informer,0.35068655014038086,5.452308416366577,9.246686588581788,85.6498794555664,394.254469871521,0.08115114370311877,7
GRU,0.3339535593986511,5.41850209236145,9.36675038033125,87.86071014404297,473.45075607299805,0.07575145805929706,8
LSTM,0.3140033781528473,5.491988897323608,9.50110002084968,90.48246765136719,495.8635926246643,0.09866952343352046,9
